"Channel 1_x","Channel 1_y"
0,0.02905504947,
0.006149053574,0.05374103133,
0.03026103973,0.1496383359,
0.05138897896,0.232550227,
0.07653403282,0.3290472396,
0.09856510162,0.4108840138,
0.1149208546,0.4696111792,
0.1387200356,0.5513943001,
0.1473629475,0.5799041759,
0.1572630405,0.611705939,
0.1651809216,0.6364527967,
0.1738140583,0.6627035511,
0.1858308315,0.6979269882,
0.2017290592,0.7418433817,
0.2113220692,0.7671917142,
0.2232549191,0.7969220872,
0.2329211235,0.8196773801,
0.241710186,0.8393155031,
0.2504382133,0.8577677231,
0.2607338428,0.8782042696,
0.2703211308,0.8959044108,
0.2794370651,0.9115057586,
0.2876479626,0.9245202683,
0.2941129208,0.9340674542,
0.3026030064,0.9456499447,
0.3098711967,0.954703631,
0.3175160885,0.9633584025,
0.3250539303,0.9710030158,
0.3328051567,0.9779470098,
0.342331171,0.9851933731,
0.3495368958,0.9897259009,
0.3578858376,0.9939480074,
0.3657751083,0.9969193801,
0.375442028,0.9992059472,
0.3821849823,0.9999170914,
0.3903868198,0.9998136159,
0.3945090771,0.999336787,
0.3979809284,0.9987338781,
0.4025521278,0.9976485915,
0.405477047,0.9967767894,
0.4084310532,0.9957597275,
0.4114239216,0.9945887035,
0.41507411,0.9929650698,
0.4183759689,0.991313898,
0.4213459492,0.9896799294,
0.425080061,0.9874332048,
0.428951025,0.9848665934,
0.4327919483,0.9820896961,
0.438421011,0.977598738,
0.4420700073,0.9744208751,
0.4459068775,0.9708581144,
0.4498031139,0.9670075382,
0.4551999569,0.9612820057,
0.4589509964,0.9571865796,
0.4628460407,0.9524045806,
0.4668381214,0.9474183776,
0.4721989632,0.9403379695,
0.4752929211,0.9360492505,
0.4784691334,0.9315169115,
0.4816608429,0.9267824483,
0.4870369434,0.9185015707,
0.4908149242,0.9124143792,
0.4939630032,0.907192161,
0.4974761009,0.9011824456,
0.5016901493,0.8937614529,
0.5048592091,0.8879908086,
0.5077359676,0.8826400489,
0.511302948,0.8758438074,
0.5143530369,0.8699125808,
0.5176329613,0.8633450511,
0.5205638409,0.8573680425,
0.5241219997,0.8499664128,
0.5279622078,0.8417743179,
0.5322020054,0.8331115508,
0.5373198986,0.8210006055,
0.5412950516,0.8117985056,
0.5445790291,0.80406494,
0.5475828648,0.7968490476,
0.5527889729,0.7841079399,
0.5566749573,0.7743642427,
0.5604829788,0.7646343745,
0.5640189648,0.755453552,
0.5675940514,0.7459860508,
0.5705111027,0.738167443,
0.5738780499,0.7290092921,
0.5775809288,0.7191272268,
0.5808088779,0.7097602509,
0.585324049,0.6972178558,
0.5883560181,0.6881711884,
0.5914180279,0.6792360483,
0.5942981243,0.6707396586,
0.5972499847,0.66196206,
0.6004259586,0.6524323898,
0.6036729813,0.6424615743,
0.606801033,0.6328697262,
0.6097168922,0.6237523938,
0.6127109528,0.6143748328,
0.615680933,0.604920303,
0.6204280853,0.5896987254,
0.6234841347,0.5797753722,
0.6264200211,0.5701743018,
0.629322052,0.560599752,
0.6326220036,0.5496270192,
0.6372909546,0.5339196386,
0.6402480602,0.5239014817,
0.6433558464,0.5132514081,
0.6465499401,0.5022495902,
0.6503579617,0.4890236324,
0.6550121307,0.4727010515,
0.6581439972,0.4616179915,
0.6615748405,0.4494105633,
0.6649830341,0.4372241267,
0.6696329117,0.4204029122,
