"Channel 1_x","Channel 1_y"
0,9,
0.00310087204,29,
0.01752185822,28,
0.02477908134,29,
0.03648519516,28,
0.04341983795,29,
0.05411982536,29,
0.06690311432,29,
0.07267999649,29,
0.08465886116,29,
0.09078812599,29,
0.1017189026,29,
0.1077461243,29,
0.1187388897,29,
0.1247370243,28,
0.1355819702,29,
0.1417798996,28,
0.1524207592,29,
1.607587099,2929,
1.627093077,29,
1.635104895,29,
1.652558088,28,
1.662522793,28,
1.670274973,29,
1.676738977,29,
1.686583042,28,
1.693186998,28,
1.703402996,28,
1.710147142,29,
1.722265005,29,
1.73378396,29,
1.742897987,29,
1.75278306,28,
1.763436079,29,
1.775753975,29,
1.785597801,29,
1.796145916,29,
1.804227114,29,
1.816822052,29,
1.824730158,29,
1.836951971,29,
1.846678019,29,
1.857470989,29,
1.869711161,29,
1.878112078,28,
1.890236855,29,
1.901415825,29,
1.910865784,28,
1.91957593,29,
1.93118906,29,
1.939400911,29,
1.951665878,29,
1.964107037,28,
1.972331047,28,
1.98444891,28,
1.992616892,29,
2.004884958,29,
2.01690793,28,
2.025372982,29,
2.03580904,28,
2.046011925,29,
2.058153868,29,
2.070445061,29,
2.087147951,29,
2.097505093,29,
2.109931946,29,
2.120547056,29,
2.133402824,29,
2.139214039,29,
2.151840925,29,
2.158204794,29,
2.169843912,29,
2.187596083,29,
2.199501038,29,
2.214949846,29,
2.221244812,28,
2.234212875,29,
2.240730762,28,
2.252155781,29,
2.258265972,29,
2.269762993,28,
2.276119947,29,
2.286556959,28,
2.291918039,29,
2.302880049,29,
2.309248924,28,
2.319812059,29,
2.328592777,29,
2.336681843,29,
2.34893012,28,
2.361376047,28,
2.369928837,29,
2.381690025,29,
2.389973879,29,
2.402179956,28,
2.410642862,29,
2.422674894,29,
2.433922052,28,
2.443364143,29,
2.455417156,29,
2.467778921,29,
2.475934029,29,
2.486663818,28,
2.496581078,28,
2.504590988,29,
2.516855001,29,
2.52511692,29,
2.537549973,28,
2.550363779,28,
2.568271875,29,
2.579627991,29,
2.590246916,29,
2.601761103,29,
2.607774019,29,
2.619342089,29,
2.626222134,28,
2.636304855,29,
2.644001961,29,
2.653177023,29,
2.664420843,29,
2.672552824,29,
2.684828997,29,
2.703727007,29,
2.714235783,29,
2.727535009,29,
2.747949123,29,
2.759985924,28,
2.771146059,28,
2.783989906,29,
2.790303946,28,
2.801613092,29,
2.819805861,29,
2.831346989,28,
2.84640789,29,
2.854014874,28,
2.866778851,28,
2.872840881,29,
2.884962082,29,
2.891021013,29,
2.902288914,29,
2.908555031,28,
2.919865131,29,
2.92816782,28,
2.936390877,29,
2.942000866,29,
2.952633142,29,
2.958015919,28,
2.968946934,29,
2.975404024,28,
2.986477137,29,
2.992063999,28,
3.002389908,29,
3.008370876,29,
3.020615816,29,
3.033056021,28,
3.041141033,29,
3.052406073,29,
3.061728954,28,
3.070204973,28,
3.082123995,29,
3.090327978,29,
3.102651834,29,
3.114941835,29,
3.123547792,28,
3.135339975,28,
3.143893003,28,
3.155790091,29,
3.167751789,29,
3.176453829,29,
3.186681032,28,
3.196911812,29,
3.209115982,29,
3.219608068,29,
3.229631901,29,
3.23778677,29,
3.250155926,29,
3.258265018,29,
3.270495892,29,
3.283058882,28,
3.291002035,28,
3.303267002,28,
3.311621904,29,
